temp,wind,humid,snow
3.9,2.8,42,2
3.9,2.8,42,1.8
4.1,3.4,41,1.7
3.9,3.6,41,1.7
3.7,3.1,42,1.7
3.7,3,43,1.7
3.8,3.6,43,1.7
3.8,3.4,44,1.7
3.8,3.7,44,1.7
4.1,3.1,44,1.7
4,3.9,46,1.7
3.9,3.5,48,1.7
3.8,4.3,50,1.7
3.8,3.2,51,1.7
3.5,3.8,58,1.7
2.3,4.3,77,1.6
1.7,4.5,84,1.3
1.4,4.2,88,1
1.1,5.6,89,0.5
1.2,5.6,89,0
1.3,5.3,89,0
1.7,5.9,89,0
2.2,5.3,89,0
2.4,5.6,89,0
2.4,6,89,0
2,5.1,89,0
2.1,4.9,89,0
2.3,5.1,89,0
2.3,4.8,89,0
2.4,4.2,88,0
2.4,3.1,88,0
2.3,2.5,88,0
2.6,1.2,89,0
2.4,1.7,89,0
2.4,1,90,0
2.2,2.7,90,0
2.2,0.9,90,0
2.2,0.5,90,0
2.1,1.2,90,0
2.1,0.7,90,0
2.1,1.7,88,0
2.1,1.3,89,0
2.2,0.3,90,0
2.4,1.6,87,0
3.4,1.9,80,0
4,1.9,76,0
4.8,2.9,70,0
5.6,2.3,66,0
6,2.3,60,0
5.8,1.5,63,0
5.7,3.4,61,0
5.3,3.8,61,0
4.8,3.5,62,0
4.5,3.6,64,0
4.3,2.6,64,0
4.2,3.1,66,0
4.1,3.1,66,0
4,2.7,66,0
3.8,2.9,68,0
3.3,3,75,0
2.7,3.9,78,0
2.3,4.2,81,0
2,4.4,83,0
1.8,3.3,84,0
1.8,3.2,83,0
1.8,2.9,84,0
1.7,3.1,86,0
1.6,2.6,88,0
1.8,1.4,89,0
2.1,1.3,88,0
2.3,1.1,87,0
2.3,2.5,89,0
2.4,4,89,0
1.9,3.4,88,0
2,3.6,84,0
2.1,2.9,83,0
1.8,3.2,80,0
1.5,4.2,73,0
1.5,3.4,73,0
1.5,3,75,0
1.5,3.2,69,0
1.2,3.4,67,0
1,3.3,61,0
0.5,2.9,66,0
0.4,2.2,67,0
0.5,2.3,69,0
0.7,2.9,68,0
0.7,2.9,70,0
0.8,3,72,0
0.8,1.9,71,0
1,0.7,71,0
1,3,79,0.1
0.8,3,84,0.3
1.8,3.3,75,0.3
2,5.3,75,0.3
1.9,6.3,71,0
1.5,7.8,66,0
1,6.6,61,0
0.3,6.1,54,0
-0.4,6.7,53,0
-1,6.7,40,0
-2.4,6.5,33,0
-4,4.7,33,0
-4.8,4.7,35,0
-5.3,4.7,33,0
-5.7,4.9,32,0
-6.7,6.6,30,0
-7.8,6.8,29,0
